filename,cik,company,filing_date,period_of_report,year,has_item_7,item_7_length,json_path
38009_10K_2016_0000038009-17-000014.json,38009,FORD MOTOR CREDIT CO LLC,2017-02-09,2016-12-31,2016,True,78063,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/38009_10K_2016_0000038009-17-000014.json
38725_10K_2016_0000038725-17-000042.json,38725,FRANKLIN ELECTRIC CO INC,2017-03-01,2016-12-31,2016,True,52897,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/38725_10K_2016_0000038725-17-000042.json
38984_10K_2016_0001564590-17-004152.json,38984,"Real Industry, Inc.",2017-03-13,2016-12-31,2016,True,97004,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/38984_10K_2016_0001564590-17-004152.json
39263_10K_2016_0000039263-17-000017.json,39263,"CULLEN/FROST BANKERS, INC.",2017-02-03,2016-12-31,2016,True,181907,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/39263_10K_2016_0000039263-17-000017.json
39311_10K_2016_0001567619-17-000394.json,39311,INDEPENDENT BANK CORP /MI/,2017-03-07,2016-12-31,2016,True,436,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/39311_10K_2016_0001567619-17-000394.json
39368_10K_2016_0001437749-17-001382.json,39368,FULLER H B CO,2017-01-31,2016-12-03,2016,True,71077,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/39368_10K_2016_0001437749-17-001382.json
39677_10K_2016_0001558370-17-000996.json,39677,"AV Homes, Inc.",2017-02-24,2016-12-31,2016,True,49583,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/39677_10K_2016_0001558370-17-000996.json
39899_10K_2016_0000039899-17-000010.json,39899,TEGNA INC,2017-02-28,2016-12-31,2016,True,70431,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/39899_10K_2016_0000039899-17-000010.json
39911_10K_2017_0000039911-17-000058.json,39911,GAP INC,2017-03-20,2017-01-28,2017,True,43930,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/39911_10K_2017_0000039911-17-000058.json
40211_10K_2016_0000040211-17-000012.json,40211,GATX CORP,2017-02-22,2016-12-31,2016,True,70828,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/40211_10K_2016_0000040211-17-000012.json
40533_10K_2016_0000040533-17-000006.json,40533,GENERAL DYNAMICS CORP,2017-02-06,2016-12-31,2016,True,67057,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/40533_10K_2016_0000040533-17-000006.json
40545_10K_2016_0000040545-17-000010.json,40545,GENERAL ELECTRIC CO,2017-02-24,2016-12-31,2016,True,100,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/40545_10K_2016_0000040545-17-000010.json
40729_10K_2016_0000040729-17-000067.json,40729,Ally Financial Inc.,2017-02-27,2016-12-31,2016,True,234263,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/40729_10K_2016_0000040729-17-000067.json
40888_10K_2016_0000040888-17-000004.json,40888,"AEROJET ROCKETDYNE HOLDINGS, INC.",2017-03-01,2016-12-31,2016,True,100235,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/40888_10K_2016_0000040888-17-000004.json
40987_10K_2016_0000040987-17-000007.json,40987,GENUINE PARTS CO,2017-02-27,2016-12-31,2016,True,39459,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/40987_10K_2016_0000040987-17-000007.json
41091_10K_2016_0000092122-17-000007.json,41091,GEORGIA POWER CO,2017-02-22,2016-12-31,2016,True,907,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/41091_10K_2016_0000092122-17-000007.json
41719_10K_2016_0001564590-17-002406.json,41719,GLATFELTER P H CO,2017-02-24,2016-12-31,2016,True,43513,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/41719_10K_2016_0001564590-17-002406.json
4187_10K_2016_0000897101-17-000405.json,4187,INDUSTRIAL SERVICES OF AMERICA INC,2017-03-31,2016-12-31,2016,True,35147,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/4187_10K_2016_0000897101-17-000405.json
42316_10K_2016_0000042316-17-000014.json,42316,GOLDFIELD CORP,2017-03-15,2016-12-31,2016,True,35781,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/42316_10K_2016_0000042316-17-000014.json
